retrait au ga /cpd littoral gaspesien 4;LOISIRS
zoo de granby;LOISIRS
gamestop;LOISIRS
sepaq;LOISIRS
percebo;LOISIRS
glissades tewkesbury;LOISIRS
sq homarus quebec;LOISIRS
recreofun;LOISIRS
nbx*camps;LOISIRS
sou'wester gift & rest;LOISIRS
oxford-itf mega parc;LOISIRS
canadahelps *donation;DONS
canadahelps donation;DONS
centre cultu*donation;DONS
paypal *canadahelps;DONS
sq *centre culturel is;DONS
retrait direct;RETRAITS - AUTRES
retrait direct;RETRAITS - AUTRES
qurtuba housing [money-in];INVESTISSEMENT
econofitness;ACTIVITÉS PHYSIQUES/SPORTIVES
assurance;ASSURANCES - AUTRES
costco essence;CARBURANT
retrait au ga;CHÈQUE/ARGENT COMPTANT
paiement facture - accèsd internet /facture;ÉLECTRICITÉ/CHAUFFAGE
canac;ENTRETIEN ET RÉNOVATIONS
magasin cdn tire;ENTRETIEN ET RÉNOVATIONS
super c;ÉPICERIE
boulangerie;ÉPICERIE
epicerie;ÉPICERIE
iga extra;ÉPICERIE
la gourmandise;ÉPICERIE
patisserie;ÉPICERIE
wal-mart;ÉPICERIE
bureau en gros;FOURNITURES SCOLAIRES
crédit remises;FRAIS DE CARTE DE CRÉDIT
costco wholesale;MAGASINS DE DÉTAIL - AUTRES
dollarama;MAGASINS DE DÉTAIL - AUTRES
dollarama;MAGASINS DE DÉTAIL - AUTRES
jean coutu;PHARMACIE
remboursement;REMBOURSEMENT IMPÔT
second cup;RESTAURANTS
dominos pizza;RESTAURANTS
saveurs des continents;RESTAURANTS
second cup;RESTAURANTS
starbucks coffee;RESTAURANTS
ristourne;RISTOURNE
paie /levio conseils;SALAIRE
paie /wal-mart;SALAIRE
rogers;TÉLÉPHONE
virgin plus;TÉLÉPHONE
google*youtubepremium;TÉLÉVISION
spaq/place des canotie;TRANSPORT - AUTRES
rtc;TRANSPORT EN COMMUN
paiement caisse;VIREMENTS
paiement facture - accèsd internet /desjardins cash back mastercar;VIREMENTS
retrait - virement interac;VIREMENTS
retrait - virement interac;VIREMENTS